02.19.50.706441,PL109,login,
03.04.15.107757,PL109,picturestory,t,
03.04.15.401007,PL109,picturestory,t,
03.04.15.410064,PL109,picturestory,t,
03.04.15.649814,PL109,picturestory,t,
03.04.15.658859,PL109,picturestory,t,
03.04.16.040007,PL109,picturestory,t,
03.04.16.051037,PL109,picturestory,t,
03.04.16.260902,PL109,picturestory,t,
03.04.16.270891,PL109,picturestory,t,
03.04.29.871906,PL109,picturestory,p,
03.04.29.881907,PL109,picturestory,p,
03.04.29.890956,PL109,picturestory,p,
03.04.30.184933,PL109,picturestory,p,
03.04.30.194953,PL109,picturestory,p,
03.04.30.203977,PL109,picturestory,p,
03.04.30.410913,PL109,picturestory,p,
03.04.30.419933,PL109,picturestory,p,
03.04.30.429960,PL109,picturestory,p,
03.04.30.618949,PL109,picturestory,p,
03.04.30.628982,PL109,picturestory,p,
03.04.30.639002,PL109,picturestory,p,
03.04.30.855805,PL109,picturestory,p,
03.04.30.864879,PL109,picturestory,p,
03.04.30.875858,PL109,picturestory,p,
03.04.31.067282,PL109,picturestory,p,
03.04.31.078349,PL109,picturestory,p,
03.04.31.087339,PL109,picturestory,p,
03.04.31.262716,PL109,picturestory,p,
03.04.31.272743,PL109,picturestory,p,
03.04.31.282780,PL109,picturestory,p,
03.04.31.525907,PL109,picturestory,p,
03.04.31.535933,PL109,picturestory,p,
03.04.31.544997,PL109,picturestory,p,
03.04.31.720167,PL109,picturestory,p,
03.04.31.729179,PL109,picturestory,p,
03.04.31.739239,PL109,picturestory,p,
03.04.31.930216,PL109,picturestory,p,
03.04.31.939239,PL109,picturestory,p,
03.04.31.949284,PL109,picturestory,p,
03.04.32.101995,PL109,picturestory,p,
03.04.32.111973,PL109,picturestory,p,
03.04.32.120996,PL109,picturestory,p,
03.04.32.291544,PL109,picturestory,p,
03.04.32.301564,PL109,picturestory,p,
03.04.32.311570,PL109,picturestory,p,
03.04.32.520580,PL109,picturestory,p,
03.04.32.530606,PL109,picturestory,p,
03.04.32.539681,PL109,picturestory,p,
03.04.32.738071,PL109,picturestory,p,
03.04.32.748096,PL109,picturestory,p,
03.04.32.757105,PL109,picturestory,p,
03.04.32.943150,PL109,picturestory,p,
03.04.32.952194,PL109,picturestory,p,
03.04.32.962251,PL109,picturestory,p,
03.04.33.123812,PL109,picturestory,p,
03.04.33.133817,PL109,picturestory,p,
03.04.33.143838,PL109,picturestory,p,
03.04.33.316367,PL109,picturestory,p,
03.04.33.325352,PL109,picturestory,p,
03.04.33.334378,PL109,picturestory,p,
03.04.33.480753,PL109,picturestory,p,
03.04.33.492811,PL109,picturestory,p,
03.04.33.501846,PL109,picturestory,p,
03.04.33.849506,PL109,picturestory,p,
03.04.33.859497,PL109,picturestory,p,
03.04.33.868523,PL109,picturestory,p,
03.04.34.025664,PL109,picturestory,p,
03.04.34.034661,PL109,picturestory,p,
03.04.34.044662,PL109,picturestory,p,
03.04.47.088252,PL109,picturestory,w,
03.04.47.098253,PL109,picturestory,w,
03.04.47.107278,PL109,picturestory,w,
03.04.47.117317,PL109,picturestory,w,
03.04.47.331492,PL109,picturestory,w,
03.04.47.341470,PL109,picturestory,w,
03.04.47.350493,PL109,picturestory,w,
03.04.47.361538,PL109,picturestory,w,
03.04.47.560946,PL109,picturestory,w,
03.04.47.570947,PL109,picturestory,w,
03.04.47.582979,PL109,picturestory,w,
03.04.47.594021,PL109,picturestory,w,
03.04.47.748379,PL109,picturestory,w,
