09.47.03.536379 sb1 login 
09.47.14.372949 sb1 words 1 
09.47.14.413074 sb1 words 1 
09.47.14.447759 sb1 words 1 
09.47.14.491176 sb1 words 1 
09.47.14.524541 sb1 words 1 
09.47.14.555943 sb1 words 1 
09.47.14.607446 sb1 words 1 
09.47.14.633564 sb1 words 1 
09.47.14.683701 sb1 words 1 
09.47.14.709777 sb1 words 1 
09.47.14.742612 sb1 words 1 
09.47.14.777192 sb1 words 1 
09.47.14.823220 sb1 words 1 
09.47.14.870614 sb1 words 1 
09.47.14.898687 sb1 words 1 
09.47.14.929428 sb1 words 1 
09.47.14.966983 sb1 words 1 
09.47.15.009451 sb1 words 1 
09.47.15.038565 sb1 words 1 
09.47.15.084665 sb1 words 1 
09.47.15.125760 sb1 words 1 
09.47.15.150825 sb1 words 1 
09.47.15.195958 sb1 words 1 
09.47.15.227028 sb1 words 1 
09.47.15.272216 sb1 words 1 
09.47.15.304961 sb1 words 1 
09.47.15.338547 sb1 words 1 
09.47.15.383042 sb1 words 1 
09.47.15.415377 sb1 words 1 
09.47.15.448795 sb1 words 1 
09.47.15.493139 sb1 words 1 
09.47.15.529413 sb1 words 1 
09.47.15.573129 sb1 words 1 
09.47.15.600632 sb1 words 1 
09.47.15.633306 sb1 words 1 
09.47.15.687486 sb1 words 1 
09.47.15.710765 sb1 words 1 
09.47.15.758192 sb1 words 1 
09.47.15.788767 sb1 words 1 
09.47.15.819148 sb1 words 1 
09.47.15.856780 sb1 words 1 
09.47.15.904142 sb1 words 1 
09.47.15.946928 sb1 words 1 
09.47.15.976299 sb1 words 1 
09.47.16.008798 sb1 words 1 
09.47.16.043760 sb1 words 1 
09.47.16.090808 sb1 words 1 
09.47.16.116870 sb1 words 1 
09.47.16.154456 sb1 words 1 
09.47.16.197969 sb1 words 1 
09.47.16.230414 sb1 words 1 
09.47.16.279117 sb1 words 1 
09.47.16.304490 sb1 words 1 
09.47.16.343708 sb1 words 1 
09.47.16.384886 sb1 words 1 
09.47.16.419190 sb1 words 1 
09.47.16.466431 sb1 words 1 
09.47.16.491008 sb1 words 1 
09.47.16.530349 sb1 words 1 
09.47.16.570242 sb1 words 1 
09.47.16.601491 sb1 words 1 
09.47.16.652657 sb1 words 1 
09.47.16.679037 sb1 words 1 
09.47.16.718401 sb1 words 1 
09.47.16.758809 sb1 words 1 
09.47.16.794215 sb1 words 1 
09.47.16.840512 sb1 words 1 
09.47.16.866872 sb1 words 1 
09.47.16.902726 sb1 words 1 
09.47.16.935715 sb1 words 1 
09.47.16.982946 sb1 words 1 
09.47.17.029799 sb1 words 1 
09.47.17.056187 sb1 words 1 
09.47.17.085232 sb1 words 1 
09.47.17.122378 sb1 words 1 
09.47.17.167665 sb1 words 1 
09.47.17.194750 sb1 words 1 
09.47.17.242473 sb1 words 1 
09.47.17.278596 sb1 words 1 
09.47.17.309245 sb1 words 1 
09.47.17.355943 sb1 words 1 
09.47.17.383068 sb1 words 1 
09.47.17.429769 sb1 words 1 
09.47.17.467060 sb1 words 1 
09.47.17.497991 sb1 words 1 
09.47.17.543985 sb1 words 1 
09.47.17.570368 sb1 words 1 
09.47.17.604955 sb1 words 1 
09.47.17.653753 sb1 words 1 
09.47.17.684554 sb1 words 1 
09.47.17.730975 sb1 words 1 
09.47.17.758405 sb1 words 1 
09.47.17.790245 sb1 words 1 
09.47.17.838133 sb1 words 1 
09.47.17.865596 sb1 words 1 
09.47.17.916368 sb1 words 1 
09.47.17.947022 sb1 words 1 
09.47.17.975620 sb1 words 1 
09.47.18.024765 sb1 words 1 
09.47.18.054384 sb1 words 1 
09.47.18.105635 sb1 words 1 
09.47.18.134279 sb1 words 1 
09.47.18.164687 sb1 words 1 
09.47.18.214263 sb1 words 1 
09.47.18.247271 sb1 words 1 
09.47.18.273604 sb1 words 1 
09.47.18.312125 sb1 words 1 
09.47.18.350405 sb1 words 1 
09.47.18.385475 sb1 words 1 
09.47.18.434152 sb1 words 1 
09.47.18.462227 sb1 words 1 
09.47.18.508457 sb1 words 1 
09.47.18.541674 sb1 words 1 
09.47.18.570507 sb1 words 1 
09.47.18.616288 sb1 words 1 
09.47.18.647403 sb1 words 1 
09.47.18.688400 sb1 words 1 
09.47.18.731110 sb1 words 1 
09.47.18.758071 sb1 words 1 
09.47.18.810720 sb1 words 1 
09.47.18.837146 sb1 words 1 
09.47.18.882863 sb1 words 1 
09.47.18.920509 sb1 words 1 
09.47.18.947849 sb1 words 1 
09.47.18.997259 sb1 words 1 
09.47.19.023490 sb1 words 1 
09.47.19.054864 sb1 words 1 
09.47.19.108106 sb1 words 1 
09.47.19.134023 sb1 words 1 
09.47.19.184951 sb1 words 1 
09.47.19.210009 sb1 words 1 
09.47.19.241560 sb1 words 1 
09.47.19.297828 sb1 words 1 
09.47.19.320181 sb1 words 1 
09.47.19.374158 sb1 words 1 
09.47.19.397278 sb1 words 1 
09.47.19.429306 sb1 words 1 
09.47.19.464399 sb1 words 1 
09.47.19.507516 sb1 words 1 
09.47.19.539600 sb1 words 1 
09.47.19.584791 sb1 words 1 
09.47.19.621876 sb1 words 1 
09.47.19.653419 sb1 words 1 
09.47.19.697724 sb1 words 1 
09.47.19.726660 sb1 words 1 
09.47.19.772297 sb1 words 1 
09.47.19.803880 sb1 words 1 
09.47.19.842844 sb1 words 1 
09.47.19.884194 sb1 words 1 
09.47.19.914592 sb1 words 1 
09.47.19.948102 sb1 words 1 
09.47.19.992193 sb1 words 1 
09.47.20.029245 sb1 words 1 
09.47.20.072950 sb1 words 1 
09.47.20.101029 sb1 words 1 
09.47.20.135397 sb1 words 1 
09.47.20.189017 sb1 words 1 
09.47.20.216983 sb1 words 1 
09.47.20.259372 sb1 words 1 
09.47.20.290466 sb1 words 1 
09.47.20.319531 sb1 words 1 
09.47.20.354629 sb1 words 1 
09.47.20.402750 sb1 words 1 
09.47.20.429883 sb1 words 1 
09.47.20.475997 sb1 words 1 
09.47.20.507079 sb1 words 1 
09.47.20.544177 sb1 words 1 
09.47.20.588861 sb1 words 1 
09.47.20.617160 sb1 words 1 
09.47.20.653798 sb1 words 1 
09.47.20.696553 sb1 words 1 
09.47.20.732956 sb1 words 1 
09.47.20.777857 sb1 words 1 
09.47.20.805906 sb1 words 1 
09.47.20.840284 sb1 words 1 
09.47.20.882632 sb1 words 1 
09.47.20.918353 sb1 words 1 
09.47.20.961520 sb1 words 1 
09.47.38.184053 sb1 letters E _ N S E 
09.47.40.334943 sb1 letters E V N S E 
09.47.44.234267 sb1 letters J O Y 
09.47.47.956952 sb1 letters R _ E E 
09.47.50.683276 sb1 letters R D E E 
