02.39.30.336950,PL18,login,
12.02.04.094014,PL18,words,1,
12.02.04.138387,PL18,words,1,
12.02.04.166892,PL18,words,1,
12.02.04.203244,PL18,words,1,
12.02.04.243710,PL18,words,1,
12.02.04.274776,PL18,words,1,
12.02.04.320952,PL18,words,1,
12.02.04.354245,PL18,words,1,
12.02.04.389351,PL18,words,1,
12.02.04.430265,PL18,words,1,
12.02.04.462615,PL18,words,1,
12.02.04.493872,PL18,words,1,
12.02.04.541227,PL18,words,1,
12.02.04.577582,PL18,words,1,
12.02.04.603875,PL18,words,1,
12.02.04.649743,PL18,words,1,
12.02.04.682019,PL18,words,1,
12.02.04.728882,PL18,words,1,
12.02.04.765104,PL18,words,1,
12.02.04.792359,PL18,words,1,
12.02.04.826850,PL18,words,1,
12.02.04.869305,PL18,words,1,
12.02.04.916678,PL18,words,1,
12.02.04.953669,PL18,words,1,
12.02.04.977789,PL18,words,1,
12.02.05.016460,PL18,words,1,
12.02.05.055316,PL18,words,1,
12.02.05.088452,PL18,words,1,
12.02.05.138355,PL18,words,1,
12.02.05.166069,PL18,words,1,
12.02.05.213376,PL18,words,1,
12.02.05.247466,PL18,words,1,
12.02.05.275507,PL18,words,1,
12.02.05.328228,PL18,words,1,
12.02.05.354043,PL18,words,1,
12.02.05.389561,PL18,words,1,
12.02.05.431961,PL18,words,1,
12.02.05.463640,PL18,words,1,
12.02.05.514598,PL18,words,1,
12.02.05.543992,PL18,words,1,
12.02.05.578711,PL18,words,1,
12.02.05.619667,PL18,words,1,
12.02.05.652341,PL18,words,1,
12.02.05.698864,PL18,words,1,
12.02.05.728494,PL18,words,1,
12.02.05.762353,PL18,words,1,
12.02.05.805455,PL18,words,1,
12.02.05.838362,PL18,words,1,
12.02.05.870666,PL18,words,1,
12.02.05.916037,PL18,words,1,
12.02.05.953731,PL18,words,1,
12.02.05.995226,PL18,words,1,
12.02.06.026777,PL18,words,1,
12.02.06.056447,PL18,words,1,
12.02.06.103424,PL18,words,1,
12.02.06.139393,PL18,words,1,
12.02.06.166871,PL18,words,1,
12.02.06.201873,PL18,words,1,
12.02.06.243772,PL18,words,1,
12.02.06.288454,PL18,words,1,
12.02.06.327606,PL18,words,1,
12.02.06.353502,PL18,words,1,
12.02.06.389673,PL18,words,1,
12.02.06.431793,PL18,words,1,
12.02.06.478317,PL18,words,1,
12.02.06.512845,PL18,words,1,
12.02.06.541753,PL18,words,1,
12.02.06.588365,PL18,words,1,
12.02.06.620145,PL18,words,1,
12.02.06.651732,PL18,words,1,
12.02.06.697409,PL18,words,1,
12.02.06.728214,PL18,words,1,
12.02.06.763095,PL18,words,1,
12.02.06.806802,PL18,words,1,
12.02.06.837808,PL18,words,1,
12.02.06.891920,PL18,words,1,
12.02.06.917194,PL18,words,1,
12.02.06.953429,PL18,words,1,
12.02.06.994396,PL18,words,1,
12.02.07.024914,PL18,words,1,
12.02.07.079495,PL18,words,1,
12.02.07.103533,PL18,words,1,
12.02.07.141334,PL18,words,1,
12.02.07.183228,PL18,words,1,
12.02.07.212926,PL18,words,1,
12.02.07.265516,PL18,words,1,
12.02.07.294039,PL18,words,1,
12.02.07.326942,PL18,words,1,
12.02.07.744603,PL18,words,1,
12.02.08.275313,PL18,words,1,
12.02.08.305590,PL18,words,1,
12.02.08.354472,PL18,words,1,
12.02.08.391745,PL18,words,1,
12.02.08.415401,PL18,words,1,
12.02.08.453586,PL18,words,1,
12.02.08.495284,PL18,words,1,
12.02.08.541461,PL18,words,1,
12.02.25.573029,PL18,picturestory,t,
12.02.25.752852,PL18,picturestory,t,
12.02.25.954445,PL18,picturestory,t,
12.02.26.083184,PL18,picturestory,t,
12.02.26.230826,PL18,picturestory,t,
12.02.26.321747,PL18,picturestory,t,
12.02.26.495008,PL18,picturestory,t,
12.02.26.616772,PL18,picturestory,t,
12.02.26.755103,PL18,picturestory,t,
12.02.26.877032,PL18,picturestory,t,
12.02.27.010368,PL18,picturestory,t,
12.02.27.120355,PL18,picturestory,t,
12.02.27.264331,PL18,picturestory,t,
12.02.27.388033,PL18,picturestory,t,
12.02.27.534290,PL18,picturestory,t,
12.02.27.652526,PL18,picturestory,t,
12.02.27.813148,PL18,picturestory,t,
12.02.27.914580,PL18,picturestory,t,
12.02.28.066549,PL18,picturestory,t,
12.02.28.168551,PL18,picturestory,t,
12.02.28.328526,PL18,picturestory,t,
12.02.28.844365,PL18,picturestory,t,
12.02.28.972813,PL18,picturestory,t,
12.02.29.153985,PL18,picturestory,t,
12.02.29.339416,PL18,picturestory,t,
12.02.29.462905,PL18,picturestory,t,
12.02.29.641677,PL18,picturestory,t,
12.02.29.769039,PL18,picturestory,t,
12.02.29.948258,PL18,picturestory,t,
12.02.30.075357,PL18,picturestory,t,
12.02.30.246304,PL18,picturestory,t,
12.02.30.406496,PL18,picturestory,t,
12.02.30.595577,PL18,picturestory,t,
12.02.30.717600,PL18,picturestory,t,
12.02.30.900354,PL18,picturestory,t,
12.02.31.021746,PL18,picturestory,t,
12.02.31.186380,PL18,picturestory,t,
12.02.31.339764,PL18,picturestory,t,
12.02.31.525923,PL18,picturestory,t,
12.02.31.688293,PL18,picturestory,t,
12.02.31.850446,PL18,picturestory,t,
12.02.31.953513,PL18,picturestory,t,
12.02.32.131435,PL18,picturestory,t,
12.02.32.237126,PL18,picturestory,t,
12.02.32.379975,PL18,picturestory,t,
12.02.32.496714,PL18,picturestory,t,
12.02.32.667008,PL18,picturestory,t,
12.02.32.761430,PL18,picturestory,t,
12.02.32.922059,PL18,picturestory,t,
12.02.33.027424,PL18,picturestory,t,
12.02.33.176485,PL18,picturestory,t,
12.02.33.289924,PL18,picturestory,t,
12.02.33.459690,PL18,picturestory,t,
12.02.33.588963,PL18,picturestory,t,
12.02.33.718435,PL18,picturestory,t,
12.02.33.856557,PL18,picturestory,t,
12.02.33.999347,PL18,picturestory,t,
12.02.34.143238,PL18,picturestory,t,
12.02.34.266863,PL18,picturestory,t,
12.02.34.431453,PL18,picturestory,t,
12.02.34.566822,PL18,picturestory,t,
12.02.34.731889,PL18,picturestory,t,
12.02.34.863951,PL18,picturestory,t,
12.02.35.024652,PL18,picturestory,t,
12.02.35.157477,PL18,picturestory,t,
12.02.35.307312,PL18,picturestory,t,
12.02.35.459175,PL18,picturestory,t,
12.02.35.612443,PL18,picturestory,t,
12.02.35.766718,PL18,picturestory,t,
12.02.35.952383,PL18,picturestory,t,
12.02.36.077200,PL18,picturestory,t,
12.02.36.251668,PL18,picturestory,t,
12.02.36.403603,PL18,picturestory,t,
12.02.36.567967,PL18,picturestory,t,
12.02.36.745602,PL18,picturestory,t,
12.02.36.908751,PL18,picturestory,t,
12.02.37.075298,PL18,picturestory,t,
12.02.37.231233,PL18,picturestory,t,
12.02.37.375572,PL18,picturestory,t,
12.02.37.545647,PL18,picturestory,t,
12.02.37.729176,PL18,picturestory,t,
12.02.37.872380,PL18,picturestory,t,
12.02.38.471763,PL18,picturestory,t,
12.02.38.608883,PL18,picturestory,t,
12.02.38.808476,PL18,picturestory,t,
12.02.38.872244,PL18,picturestory,t,
12.02.39.122683,PL18,picturestory,t,
12.02.39.323362,PL18,picturestory,t,
12.02.39.493312,PL18,picturestory,t,
12.02.39.614484,PL18,picturestory,t,
12.02.57.744622,PL18,picturestory,w,
12.02.57.758711,PL18,picturestory,w,
12.02.57.915647,PL18,picturestory,w,
12.02.57.929685,PL18,picturestory,w,
12.02.58.225216,PL18,picturestory,w,
12.02.58.235243,PL18,picturestory,w,
12.02.58.511302,PL18,picturestory,,
12.02.58.522342,PL18,picturestory,,
12.02.58.671184,PL18,picturestory,,
12.02.58.682213,PL18,picturestory,,
12.02.58.831613,PL18,picturestory,w,
12.02.58.841639,PL18,picturestory,w,
12.02.58.958465,PL18,picturestory,w,
12.02.58.971447,PL18,picturestory,w,
12.02.59.101175,PL18,picturestory,w,
12.02.59.110198,PL18,picturestory,w,
12.02.59.245890,PL18,picturestory,w,
12.02.59.256926,PL18,picturestory,w,
12.02.59.361791,PL18,picturestory,w,
12.02.59.373872,PL18,picturestory,w,
12.02.59.513775,PL18,picturestory,w,
12.02.59.524809,PL18,picturestory,w,
12.02.59.638736,PL18,picturestory,w,
12.02.59.648754,PL18,picturestory,w,
12.02.59.766459,PL18,picturestory,w,
12.02.59.777490,PL18,picturestory,w,
12.02.59.906528,PL18,picturestory,w,
12.02.59.917596,PL18,picturestory,w,
12.03.00.040511,PL18,picturestory,w,
12.03.00.051544,PL18,picturestory,w,
12.03.00.192279,PL18,picturestory,w,
12.03.00.202343,PL18,picturestory,w,
12.03.00.316455,PL18,picturestory,w,
12.03.00.326502,PL18,picturestory,w,
12.03.00.490032,PL18,picturestory,w,
12.03.00.501030,PL18,picturestory,w,
12.03.00.591499,PL18,picturestory,w,
12.03.00.601525,PL18,picturestory,w,
12.03.00.776323,PL18,picturestory,w,
12.03.00.789358,PL18,picturestory,w,
12.03.00.936596,PL18,picturestory,w,
12.03.00.947627,PL18,picturestory,w,
12.03.01.538372,PL18,picturestory,w,
12.03.01.548436,PL18,picturestory,w,
12.03.01.725365,PL18,picturestory,w,
12.03.01.736355,PL18,picturestory,w,
12.03.14.517868,PL18,picturestory,r,
12.03.14.527853,PL18,picturestory,r,
12.03.14.539885,PL18,picturestory,r,
12.03.14.655544,PL18,picturestory,r,
12.03.14.666560,PL18,picturestory,r,
12.03.14.675583,PL18,picturestory,r,
12.03.14.827138,PL18,picturestory,r,
12.03.14.837166,PL18,picturestory,r,
12.03.14.848193,PL18,picturestory,r,
12.03.14.966877,PL18,picturestory,r,
12.03.14.977869,PL18,picturestory,r,
12.03.14.987934,PL18,picturestory,r,
12.03.15.092209,PL18,picturestory,r,
12.03.15.103233,PL18,picturestory,r,
12.03.15.113252,PL18,picturestory,r,
12.03.15.225860,PL18,picturestory,r,
12.03.15.235883,PL18,picturestory,r,
12.03.15.246908,PL18,picturestory,r,
12.03.15.354113,PL18,picturestory,r,
12.03.15.365111,PL18,picturestory,r,
12.03.15.376154,PL18,picturestory,r,
12.03.15.489007,PL18,picturestory,r,
12.03.15.499058,PL18,picturestory,r,
12.03.15.511065,PL18,picturestory,r,
12.03.15.615187,PL18,picturestory,r,
12.03.15.626217,PL18,picturestory,r,
12.03.15.637252,PL18,picturestory,r,
12.03.15.736787,PL18,picturestory,r,
12.03.15.749859,PL18,picturestory,r,
12.03.15.762894,PL18,picturestory,r,
12.03.15.885936,PL18,picturestory,r,
12.03.15.895974,PL18,picturestory,r,
12.03.15.906972,PL18,picturestory,r,
12.03.16.007141,PL18,picturestory,r,
12.03.16.017189,PL18,picturestory,r,
12.03.16.028184,PL18,picturestory,r,
12.03.16.156138,PL18,picturestory,r,
12.03.16.169139,PL18,picturestory,r,
12.03.16.180174,PL18,picturestory,r,
12.03.16.278579,PL18,picturestory,r,
12.03.16.289587,PL18,picturestory,r,
12.03.16.300620,PL18,picturestory,r,
12.03.16.440925,PL18,picturestory,r,
12.03.16.450952,PL18,picturestory,r,
12.03.16.461943,PL18,picturestory,r,
12.03.16.589901,PL18,picturestory,r,
12.03.16.601971,PL18,picturestory,r,
12.03.16.612964,PL18,picturestory,r,
12.03.16.752375,PL18,picturestory,r,
12.03.16.765391,PL18,picturestory,r,
12.03.16.777420,PL18,picturestory,r,
12.03.16.889175,PL18,picturestory,r,
12.03.16.900163,PL18,picturestory,r,
12.03.16.911193,PL18,picturestory,r,
12.03.17.045203,PL18,picturestory,r,
12.03.17.056204,PL18,picturestory,r,
12.03.17.067214,PL18,picturestory,r,
12.03.17.209245,PL18,picturestory,r,
12.03.17.221234,PL18,picturestory,r,
12.03.17.232264,PL18,picturestory,r,
12.03.30.594713,PL18,picturestory,b,
12.03.30.604772,PL18,picturestory,b,
12.03.30.615772,PL18,picturestory,b,
12.03.30.625829,PL18,picturestory,b,
12.03.30.798055,PL18,picturestory,b,
12.03.30.809111,PL18,picturestory,b,
12.03.30.821149,PL18,picturestory,b,
12.03.30.831174,PL18,picturestory,b,
12.03.30.974105,PL18,picturestory,b,
12.03.30.985139,PL18,picturestory,b,
12.03.30.997162,PL18,picturestory,b,
12.03.31.011198,PL18,picturestory,b,
12.03.31.095323,PL18,picturestory,b,
12.03.31.107326,PL18,picturestory,b,
12.03.31.118355,PL18,picturestory,b,
12.03.31.129386,PL18,picturestory,b,
12.03.31.246449,PL18,picturestory,b,
12.03.31.257520,PL18,picturestory,b,
12.03.31.268507,PL18,picturestory,b,
12.03.31.279534,PL18,picturestory,b,
12.03.31.356925,PL18,picturestory,b,
12.03.31.367951,PL18,picturestory,b,
12.03.31.378979,PL18,picturestory,b,
12.03.31.390066,PL18,picturestory,b,
12.03.31.501192,PL18,picturestory,b,
12.03.31.514228,PL18,picturestory,b,
12.03.31.524254,PL18,picturestory,b,
12.03.31.535285,PL18,picturestory,b,
12.03.31.619749,PL18,picturestory,b,
12.03.31.631823,PL18,picturestory,b,
12.03.31.642850,PL18,picturestory,b,
12.03.31.654856,PL18,picturestory,b,
12.03.31.764987,PL18,picturestory,b,
12.03.31.775022,PL18,picturestory,b,
12.03.31.788023,PL18,picturestory,b,
12.03.31.798049,PL18,picturestory,b,
12.03.31.871408,PL18,picturestory,b,
12.03.31.886440,PL18,picturestory,b,
12.03.31.900478,PL18,picturestory,b,
12.03.31.914514,PL18,picturestory,b,
12.03.32.027995,PL18,picturestory,b,
12.03.32.049050,PL18,picturestory,b,
12.03.32.063089,PL18,picturestory,b,
12.03.32.077126,PL18,picturestory,b,
12.03.32.128549,PL18,picturestory,b,
12.03.32.142593,PL18,picturestory,b,
12.03.32.157676,PL18,picturestory,b,
12.03.32.172718,PL18,picturestory,b,
12.03.32.280106,PL18,picturestory,b,
12.03.32.295125,PL18,picturestory,b,
12.03.32.310191,PL18,picturestory,b,
12.03.32.325193,PL18,picturestory,b,
12.03.32.390901,PL18,picturestory,b,
12.03.32.405952,PL18,picturestory,b,
12.03.32.420982,PL18,picturestory,b,
12.03.32.435030,PL18,picturestory,b,
12.03.32.534807,PL18,picturestory,b,
12.03.32.549847,PL18,picturestory,b,
12.03.32.563919,PL18,picturestory,b,
12.03.32.574950,PL18,picturestory,b,
12.03.32.636417,PL18,picturestory,b,
12.03.32.647458,PL18,picturestory,b,
12.03.32.658476,PL18,picturestory,b,
12.03.32.671510,PL18,picturestory,b,
12.03.32.798943,PL18,picturestory,b,
12.03.32.809970,PL18,picturestory,b,
12.03.32.823043,PL18,picturestory,b,
12.03.32.834041,PL18,picturestory,b,
12.03.32.900829,PL18,picturestory,b,
12.03.32.911849,PL18,picturestory,b,
12.03.32.923883,PL18,picturestory,b,
12.03.32.935873,PL18,picturestory,b,
12.03.33.065330,PL18,picturestory,b,
12.03.33.079367,PL18,picturestory,b,
12.03.33.093441,PL18,picturestory,b,
12.03.33.105472,PL18,picturestory,b,
12.03.33.170724,PL18,picturestory,b,
12.03.33.182770,PL18,picturestory,b,
12.03.33.194799,PL18,picturestory,b,
12.03.33.207834,PL18,picturestory,b,
12.03.33.329889,PL18,picturestory,b,
12.03.33.340919,PL18,picturestory,b,
12.03.33.353954,PL18,picturestory,b,
12.03.33.365022,PL18,picturestory,b,
12.03.52.666733,PL18,crossword ,done,
