04.04.26.870300,PL201,login,
04.43.24.397174,PL201,picturestory,p,
04.43.24.550397,PL201,picturestory,p,
04.43.24.560417,PL201,picturestory,p,
04.43.24.571444,PL201,picturestory,p,
04.43.24.682014,PL201,picturestory,p,
04.43.24.694009,PL201,picturestory,p,
04.43.24.706039,PL201,picturestory,p,
04.43.24.836985,PL201,picturestory,p,
04.43.24.848002,PL201,picturestory,p,
04.43.24.858037,PL201,picturestory,p,
04.43.25.011744,PL201,picturestory,p,
04.43.25.021729,PL201,picturestory,p,
04.43.25.032758,PL201,picturestory,p,
04.43.25.254893,PL201,picturestory,p,
04.43.25.264920,PL201,picturestory,p,
04.43.25.274946,PL201,picturestory,p,
04.43.25.412321,PL201,picturestory,p,
04.43.25.422349,PL201,picturestory,p,
04.43.25.434334,PL201,picturestory,p,
04.43.25.589555,PL201,picturestory,p,
04.43.25.599630,PL201,picturestory,p,
04.43.25.609656,PL201,picturestory,p,
04.43.25.731147,PL201,picturestory,p,
04.43.25.743149,PL201,picturestory,p,
04.43.25.754241,PL201,picturestory,p,
04.43.25.908076,PL201,picturestory,p,
04.43.25.920129,PL201,picturestory,p,
04.43.25.933143,PL201,picturestory,p,
04.43.26.036862,PL201,picturestory,p,
04.43.26.046925,PL201,picturestory,p,
04.43.26.057917,PL201,picturestory,p,
04.43.38.782409,PL201,picturestory,t,
04.43.38.796457,PL201,picturestory,t,
04.43.38.807476,PL201,picturestory,t,
04.43.38.819508,PL201,picturestory,t,
04.43.38.914994,PL201,picturestory,t,
04.43.38.927008,PL201,picturestory,t,
04.43.38.937052,PL201,picturestory,t,
04.43.38.949084,PL201,picturestory,t,
04.43.39.119163,PL201,picturestory,t,
04.43.39.129226,PL201,picturestory,t,
04.43.39.139216,PL201,picturestory,t,
04.43.39.149244,PL201,picturestory,t,
04.43.39.241602,PL201,picturestory,t,
04.43.39.253666,PL201,picturestory,t,
04.43.39.265678,PL201,picturestory,t,
04.43.39.275728,PL201,picturestory,t,
04.43.39.410652,PL201,picturestory,t,
04.43.39.424698,PL201,picturestory,t,
04.43.39.436719,PL201,picturestory,t,
04.43.39.448751,PL201,picturestory,t,
04.43.39.527310,PL201,picturestory,t,
04.43.39.538351,PL201,picturestory,t,
04.43.39.549373,PL201,picturestory,t,
04.43.39.559387,PL201,picturestory,t,
04.43.39.692936,PL201,picturestory,t,
04.43.39.702993,PL201,picturestory,t,
04.43.39.714982,PL201,picturestory,t,
04.43.39.726051,PL201,picturestory,t,
04.43.39.814484,PL201,picturestory,t,
04.43.39.825545,PL201,picturestory,t,
04.43.39.839551,PL201,picturestory,t,
04.43.39.852600,PL201,picturestory,t,
04.43.39.970628,PL201,picturestory,t,
04.43.39.982634,PL201,picturestory,t,
04.43.39.993663,PL201,picturestory,t,
04.43.40.004746,PL201,picturestory,t,
04.43.40.088174,PL201,picturestory,t,
04.43.40.103241,PL201,picturestory,t,
04.43.40.114244,PL201,picturestory,t,
04.43.40.125312,PL201,picturestory,t,
04.43.40.245961,PL201,picturestory,t,
04.43.40.259999,PL201,picturestory,t,
04.43.40.270064,PL201,picturestory,t,
04.43.40.282061,PL201,picturestory,t,
04.43.40.379827,PL201,picturestory,t,
04.43.40.389844,PL201,picturestory,t,
04.43.40.400936,PL201,picturestory,t,
04.43.40.411951,PL201,picturestory,t,
04.43.40.511507,PL201,picturestory,t,
