05.56.53.706958,s,login,
05.57.30.372260,s,words,1,
05.57.30.403506,s,words,1,
05.57.30.450712,s,words,1,
05.57.30.481988,s,words,1,
05.57.30.513242,s,words,1,
05.57.30.559877,s,words,1,
05.57.30.591341,s,words,1,
05.57.30.638243,s,words,1,
05.57.30.669491,s,words,1,
05.57.30.700758,s,words,1,
05.57.30.747633,s,words,1,
05.57.30.778872,s,words,1,
05.57.30.810019,s,words,1,
05.57.30.856777,s,words,1,
05.57.30.888266,s,words,1,
05.57.30.935152,s,words,1,
05.57.30.966391,s,words,1,
05.57.30.997672,s,words,1,
05.57.31.044574,s,words,1,
05.57.31.075567,s,words,1,
05.57.31.106816,s,words,1,
05.57.31.153912,s,words,1,
05.57.31.185172,s,words,1,
05.57.31.232062,s,words,1,
05.57.31.263325,s,words,1,
05.57.31.294589,s,words,1,
05.57.31.341246,s,words,1,
05.57.31.372713,s,words,1,
05.57.31.419573,s,words,1,
05.57.31.450852,s,words,1,
05.57.31.482119,s,words,1,
05.57.31.528758,s,words,1,
05.57.31.560217,s,words,1,
05.57.31.591296,s,words,1,
05.57.31.638385,s,words,1,
05.57.31.669616,s,words,1,
05.57.31.716502,s,words,1,
05.57.31.747544,s,words,1,
05.57.31.778995,s,words,1,
05.57.31.825784,s,words,1,
05.57.31.857148,s,words,1,
05.57.31.888404,s,words,1,
05.57.31.935262,s,words,1,
05.57.31.966511,s,words,1,
05.57.32.013396,s,words,1,
05.57.32.044650,s,words,1,
05.57.32.075803,s,words,1,
05.57.32.122813,s,words,1,
05.57.32.154054,s,words,1,
05.57.32.185041,s,words,1,
05.57.32.232159,s,words,1,
05.57.32.263411,s,words,1,
05.57.32.310313,s,words,1,
05.57.32.341323,s,words,1,
05.57.32.372838,s,words,1,
05.57.32.419682,s,words,1,
05.57.32.451275,s,words,1,
05.57.32.482295,s,words,1,
05.57.32.529424,s,words,1,
05.57.32.560655,s,words,1,
05.57.32.607549,s,words,1,
05.57.32.638823,s,words,1,
05.57.32.670042,s,words,1,
05.57.32.716941,s,words,1,
05.57.32.748192,s,words,1,
05.57.32.795068,s,words,1,
05.57.32.826168,s,words,1,
05.57.32.857562,s,words,1,
05.57.32.904450,s,words,1,
05.57.32.935686,s,words,1,
05.57.32.966719,s,words,1,
05.57.33.013833,s,words,1,
05.57.33.045079,s,words,1,
05.57.33.076149,s,words,1,
05.57.33.123230,s,words,1,
05.57.33.154478,s,words,1,
05.57.33.201360,s,words,1,
05.57.33.232606,s,words,1,
05.57.33.263610,s,words,1,
