02.53.51.989259,SB11,login,
02.54.14.659555,SB11,words,1,
02.54.14.704353,SB11,words,1,
02.54.14.727177,SB11,words,1,
02.54.14.764486,SB11,words,1,
02.54.14.807131,SB11,words,1,
02.54.14.836900,SB11,words,1,
02.54.14.884200,SB11,words,1,
02.54.14.916129,SB11,words,1,
02.54.14.952267,SB11,words,1,
02.54.14.984792,SB11,words,1,
02.54.15.026014,SB11,words,1,
02.54.15.078574,SB11,words,1,
02.54.15.107056,SB11,words,1,
02.54.15.140728,SB11,words,1,
02.54.15.184233,SB11,words,1,
02.54.15.525680,SB11,words,2,
02.54.16.060221,SB11,words,2,
02.54.16.091498,SB11,words,2,
02.54.16.139795,SB11,words,2,
02.54.16.172301,SB11,words,2,
02.54.16.215661,SB11,words,2,
02.54.16.244911,SB11,words,2,
02.54.16.274025,SB11,words,2,
02.54.16.328757,SB11,words,2,
02.54.16.358334,SB11,words,2,
02.54.16.391061,SB11,words,2,
02.54.16.434067,SB11,words,2,
02.54.16.468179,SB11,words,2,
02.54.16.514274,SB11,words,2,
02.54.16.548371,SB11,words,2,
02.54.16.577442,SB11,words,2,
02.54.16.606519,SB11,words,2,
02.54.16.656653,SB11,words,2,
02.54.16.681733,SB11,words,2,
02.54.16.731853,SB11,words,2,
02.54.16.764945,SB11,words,2,
02.54.16.796025,SB11,words,2,
02.54.16.840143,SB11,words,2,
02.54.16.871561,SB11,words,2,
02.54.16.923975,SB11,words,2,
02.54.16.948821,SB11,words,2,
02.54.16.995187,SB11,words,2,
02.54.17.015325,SB11,words,2,
02.54.17.056623,SB11,words,2,
02.54.17.092807,SB11,words,2,
02.54.17.142726,SB11,words,2,
02.54.17.166841,SB11,words,2,
02.54.17.203801,SB11,words,2,
02.54.49.968641,SB11,login,
02.54.57.015082,SB11,words ,1,
02.54.57.525996,SB11,words ,1,
02.54.57.572562,SB11,words ,1,
02.54.57.603923,SB11,words ,1,
02.54.57.640824,SB11,words ,1,
02.54.57.684393,SB11,words ,1,
02.54.57.716686,SB11,words ,1,
02.54.57.763033,SB11,words ,1,
02.54.57.793652,SB11,words ,1,
02.54.57.827196,SB11,words ,1,
02.54.57.869561,SB11,words ,1,
02.54.57.900645,SB11,words ,1,
02.54.57.952600,SB11,words ,1,
02.54.57.983834,SB11,words ,1,
02.54.58.015565,SB11,words ,1,
02.54.58.054284,SB11,words ,1,
02.54.58.086728,SB11,words ,1,
02.54.58.140066,SB11,words ,1,
02.54.58.171861,SB11,words ,1,
02.54.58.197137,SB11,words ,1,
02.54.58.244806,SB11,words ,1,
02.54.58.278668,SB11,words ,1,
02.54.58.326965,SB11,words ,1,
02.54.58.357862,SB11,words ,1,
02.54.58.385932,SB11,words ,1,
02.54.58.418967,SB11,words ,1,
02.54.58.463626,SB11,words ,1,
02.54.58.495597,SB11,words ,1,
02.54.58.548515,SB11,words ,1,
02.54.58.571224,SB11,words ,1,
02.54.58.606425,SB11,words ,1,
02.54.58.650115,SB11,words ,1,
02.54.58.683392,SB11,words ,1,
02.54.58.716852,SB11,words ,1,
02.54.58.765222,SB11,words ,1,
02.54.58.789856,SB11,words ,1,
02.54.58.843227,SB11,words ,1,
02.54.58.868923,SB11,words ,1,
02.54.58.921061,SB11,words ,1,
02.54.58.949136,SB11,words ,1,
02.54.58.979218,SB11,words ,1,
02.54.59.016315,SB11,words ,1,
02.54.59.054416,SB11,words ,1,
02.54.59.087538,SB11,words ,1,
02.54.59.141648,SB11,words ,1,
02.54.59.165716,SB11,words ,1,
02.54.59.199805,SB11,words ,1,
02.54.59.244925,SB11,words ,1,
02.54.59.276006,SB11,words ,1,
02.54.59.327190,SB11,words ,1,
02.54.59.357746,SB11,words ,1,
02.54.59.389973,SB11,words ,1,
02.54.59.422239,SB11,words ,1,
02.54.59.468877,SB11,words ,1,
